Time,Collaboration,Cooperation,Coordination,Communication,Travail individuel,Teacher Intervention,Neutral/setup,Technical Issue,Off topic,seance
1140.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1170.0,1,0,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
1200.0,1,1,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
1230.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1260.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1290.0,1,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1320.0,0,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1350.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
1380.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
1410.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1440.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1470.0,1,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
1500.0,1,0,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
1530.0,0,0,1,1,0,0,0,0,0,Seance_3_AC_Grattoir
1560.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
1590.0,0,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1620.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1650.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1680.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1710.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1740.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1770.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
1800.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1830.0,1,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1860.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
1890.0,0,0,0,1,0,0,0,0,1,Seance_3_AC_Grattoir
1920.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1950.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
1980.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
2010.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
2040.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
2070.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
2100.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
2130.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
2160.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
2190.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
2220.0,0,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
2250.0,1,0,1,1,0,0,0,0,0,Seance_3_AC_Grattoir
2280.0,1,0,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
2310.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
2340.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
2370.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
2400.0,0,0,0,0,1,0,0,0,1,Seance_3_AC_Grattoir
2430.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
